Category,num_cells,pct_cells,median_umis,stddev_umis
CMO304|CMO309|CMO310,4,0.1,1859.5,553.3
CMO304|CMO309|CMO311,2,0.0,3390.5,40.5
CMO304|CMO310|CMO311,3,0.0,2817.0,2375.4
CMO305|CMO306|CMO308,1,0.0,2743.0,0.0
CMO305|CMO308|CMO310,3,0.0,4065.0,1347.2
CMO305|CMO309|CMO310,1,0.0,1581.0,0.0
CMO305|CMO310|CMO311,1,0.0,2136.0,0.0
CMO306|CMO307|CMO308,1,0.0,1061.0,0.0
CMO306|CMO307|CMO309,4,0.1,1941.5,408.9
CMO306|CMO307|CMO310,12,0.2,2279.0,1160.5
CMO306|CMO307|CMO311,1,0.0,1508.0,0.0
CMO306|CMO308|CMO309,3,0.0,2748.0,970.9
CMO306|CMO308|CMO310,8,0.1,2030.5,998.7
CMO306|CMO308|CMO311,1,0.0,2846.0,0.0
CMO306|CMO309|CMO310,14,0.2,1982.5,702.6
CMO306|CMO309|CMO311,3,0.0,3030.0,940.6
CMO306|CMO310|CMO311,6,0.1,2317.0,799.3
CMO307|CMO308|CMO309,1,0.0,3508.0,0.0
CMO307|CMO308|CMO310,10,0.2,1860.0,887.9
CMO307|CMO309|CMO310,8,0.1,1827.5,792.7
CMO307|CMO309|CMO311,3,0.0,2428.0,877.6
CMO307|CMO310|CMO311,4,0.1,1678.0,1402.1
CMO308|CMO309|CMO310,2,0.0,4368.5,403.5
CMO308|CMO309|CMO311,3,0.0,3026.0,919.3
CMO308|CMO310|CMO311,2,0.0,1683.0,30.0
CMO309|CMO310|CMO311,9,0.1,2616.0,991.4
